Código;Data do relatório;Espécie;Captura (Kg);Valor R$/Kg
2319040;01/06/2022;Sardinha-verdadeira;16.907,00;1
2202088;01/06/2022;Sardinha-verdadeira;5.000,00;3,2
2347104;02/06/2022;Sardinha-verdadeira;5.000,00;1,2
2255842;02/06/2022;Sardinha-verdadeira;7.000,00;4
2255842;02/06/2022;Sardinha-verdadeira;593;4
2202088;02/06/2022;Sardinha-verdadeira;9.240,00;3,5
2202088;04/06/2022;Sardinha-verdadeira;4.850,00;3,2
2202088;07/06/2022;Sardinha-verdadeira;12.000,00;3,5
2202088;07/06/2022;Sardinha-verdadeira;5.000,00;3,5
2202088;08/06/2022;Sardinha-verdadeira;26.000,00;3,5
2168132;08/06/2022;Sardinha-verdadeira;80;3,5
2157478;08/06/2022;Sardinha-verdadeira;36.000,00;3,5
2157478;08/06/2022;Sardinha-verdadeira;50.000,00;3,2
2202088;09/06/2022;Sardinha-verdadeira;10.000,00;3,5
2347104;10/06/2022;Sardinha-verdadeira;15.000,00;1,2
2272362;10/06/2022;Sardinha-verdadeira;30.287,00;3,5
2202088;10/06/2022;Sardinha-verdadeira;1.000,00;3,5
2168132;10/06/2022;Sardinha-verdadeira;23.620,00;4,2
2157478;11/06/2022;Sardinha-verdadeira;25.000,00;3,2
2347104;12/06/2022;Sardinha-verdadeira;10.000,00;1,2
2347104;13/06/2022;Sardinha-verdadeira;22.000,00;1,2
2272362;13/06/2022;Sardinha-verdadeira;2.289,00;3,2
2168132;13/06/2022;Sardinha-verdadeira;30.635,00;3,2
2272362;14/06/2022;Sardinha-verdadeira;25.188,00;3,2
2347104;17/06/2022;Sardinha-verdadeira;38.000,00;1,2
2319040;17/06/2022;Sardinha-verdadeira;42.900,00;1
2202088;17/06/2022;Sardinha-verdadeira;16.820,00;3,5
2168132;17/06/2022;Sardinha-verdadeira;60;3,5
2347104;18/06/2022;Sardinha-verdadeira;90.000,00;1,2
2157478;19/06/2022;Sardinha-verdadeira;210.000,00;3,4
2319040;20/06/2022;Sardinha-verdadeira;39.297,00;1
2168132;20/06/2022;Sardinha-verdadeira;2.760,00;3,5
2319040;22/06/2022;Sardinha-verdadeira;8.457,00;1
2272362;22/06/2022;Sardinha-verdadeira;18.625,00;3,2
2202088;22/06/2022;Sardinha-verdadeira;8.000,00;3,5
2347104;23/06/2022;Sardinha-verdadeira;35.000,00;1,2
2272362;23/06/2022;Sardinha-verdadeira;146.490,00;3,2
2202088;23/06/2022;Sardinha-verdadeira;1.500,00;3,5
2168132;23/06/2022;Sardinha-verdadeira;7.220,00;3,2
2168132;23/06/2022;Sardinha-verdadeira;5.248,00;3,8
2157478;23/06/2022;Sardinha-verdadeira;197.000,00;3,4
2157478;24/06/2022;Sardinha-verdadeira;180.000,00;3,4
2319040;25/06/2022;Sardinha-verdadeira;4.940,00;1
2202088;25/06/2022;Sardinha-verdadeira;2.100,00;3,8
2202088;28/06/2022;Sardinha-verdadeira;24.000,00;4
2168132;28/06/2022;Sardinha-verdadeira;17.960,00;4
2157478;28/06/2022;Sardinha-verdadeira;45.000,00;3,75
2319040;29/06/2022;Sardinha-verdadeira;34.920,00;1
2157478;29/06/2022;Sardinha-verdadeira;50.000,00;3,2
2157478;29/06/2022;Sardinha-verdadeira;23.000,00;3,4
2168132;30/06/2022;Sardinha-verdadeira;8.178,00;3,4
2321243;01/07/2022;Sardinha-verdadeira;9.160,00;1
2305863;01/07/2022;Sardinha-verdadeira;10.000,00;4
2278134;01/07/2022;Sardinha-verdadeira;58;3,4
2278134;01/07/2022;Sardinha-verdadeira;280;3,5
2252051;01/07/2022;Sardinha-verdadeira;7.000,00;3,5
2252051;01/07/2022;Sardinha-verdadeira;18.000,00;3,5
2321243;03/07/2022;Sardinha-verdadeira;40.411,00;1,5
2321243;04/07/2022;Sardinha-verdadeira;12.580,00;3,7
2305863;04/07/2022;Sardinha-verdadeira;33.000,00;1,1
2305863;04/07/2022;Sardinha-verdadeira;7.000,00;1,1
2278134;05/07/2022;Sardinha-verdadeira;4.578,00;3,5
2278134;05/07/2022;Sardinha-verdadeira;74.040,00;4,2
2278134;05/07/2022;Sardinha-verdadeira;28.417,00;3,5
2252051;05/07/2022;Sardinha-verdadeira;60.000,00;3,4
2346831;06/07/2022;Sardinha-verdadeira;101.672,00;3,2
2321243;06/07/2022;Sardinha-verdadeira;45.992,00;1
2252051;06/07/2022;Sardinha-verdadeira;50.000,00;3,2
2346831;08/07/2022;Sardinha-verdadeira;5.871,00;3,2
2305863;08/07/2022;Sardinha-verdadeira;4.000,00;1,1
2278134;08/07/2022;Sardinha-verdadeira;11.040,00;3,5
2252051;08/07/2022;Sardinha-verdadeira;20.000,00;3,2
2321243;09/07/2022;Sardinha-verdadeira;40.000,00;1,5
2305863;09/07/2022;Sardinha-verdadeira;15.000,00;1,1
2252051;09/07/2022;Sardinha-verdadeira;19.000,00;3,2
2346831;11/07/2022;Sardinha-verdadeira;64.001,00;3,5
2346831;11/07/2022;Sardinha-verdadeira;22.042,00;3,2
2305863;11/07/2022;Sardinha-verdadeira;4.000,00;1,1
2305863;11/07/2022;Sardinha-verdadeira;18.000,00;1,1
2278134;11/07/2022;Sardinha-verdadeira;44.366,00;3,2
2252051;11/07/2022;Sardinha-verdadeira;30.000,00;3,2
2252051;11/07/2022;Sardinha-verdadeira;69.000,00;3,4
2252051;11/07/2022;Sardinha-verdadeira;75.000,00;3,2
2346831;12/07/2022;Sardinha-verdadeira;109.485,00;3,2
2252051;13/07/2022;Sardinha-verdadeira;125.000,00;3,2
2346831;15/07/2022;Sardinha-verdadeira;21.000,00;3,2
2305863;15/07/2022;Sardinha-verdadeira;5.000,00;1,1
2305863;15/07/2022;Sardinha-verdadeira;17.000,00;1,1
2278134;15/07/2022;Sardinha-verdadeira;20.540,00;3,8
