Código;Data do relatório;Espécie;Captura (Kg);Valor R$/Kg
3336751;18/05/2023;Sardinha-verdadeira;167.860,00;2,6
3298221;18/05/2023;Sardinha-verdadeira;80.000,00;2
3250951;18/05/2023;Sardinha-verdadeira;190.000,00;2,8
3250951;19/05/2023;Sardinha-verdadeira;220.000,00;2,8
3159171;19/05/2023;Sardinha-verdadeira;100.140,00;2,6
3298221;20/05/2023;Sardinha-verdadeira;50.000,00;2
3250951;20/05/2023;Sardinha-verdadeira;130.000,00;2,6
3159171;21/05/2023;Sardinha-verdadeira;105.046,00;2,4
5466651;22/05/2023;Sardinha-verdadeira;40.986,00;1,5
3482375;22/05/2023;Sardinha-verdadeira;161.000,00;1,2
3298221;22/05/2023;Sardinha-verdadeira;60.000,00;2
3250951;22/05/2023;Sardinha-verdadeira;200.000,00;2,8
3250951;22/05/2023;Sardinha-verdadeira;160.000,00;2,5
5466651;23/05/2023;Sardinha-verdadeira;17.490,00;1,5
3336751;23/05/2023;Sardinha-verdadeira;153.488,00;2,6
3482375;24/05/2023;Sardinha-verdadeira;36.000,00;1,2
3250951;24/05/2023;Sardinha-verdadeira;180.000,00;2,5
3250951;25/05/2023;Sardinha-verdadeira;140.000,00;2,5
5466651;26/05/2023;Sardinha-verdadeira;2.478,00;1,5
3250951;26/05/2023;Sardinha-verdadeira;68.000,00;2,7
5466651;30/05/2023;Sardinha-verdadeira;1.850,00;1,5
3298221;30/05/2023;Sardinha-verdadeira;10.000,00;2
3298221;30/05/2023;Sardinha-verdadeira;25.000,00;2
3250951;30/05/2023;Sardinha-verdadeira;16.000,00;2,5
3250951;30/05/2023;Sardinha-verdadeira;45.000,00;2,5
3250951;31/05/2023;Sardinha-verdadeira;34.000,00;2,5
3515135;01/06/2023;Sardinha-verdadeira;38.188,00;2
3306836;01/06/2023;Sardinha-verdadeira;49.000,00;2
3262558;01/06/2023;Sardinha-verdadeira;180.000,00;2,8
5467319;02/06/2023;Sardinha-verdadeira;42.520,00;1,5
3515135;02/06/2023;Sardinha-verdadeira;35.595,00;2,6
3306836;02/06/2023;Sardinha-verdadeira;18.000,00;2
3404869;03/06/2023;Sardinha-verdadeira;10.000,00;1,1
3306836;03/06/2023;Sardinha-verdadeira;10.000,00;2
3262558;03/06/2023;Sardinha-verdadeira;115.000,00;2,5
5467319;05/06/2023;Sardinha-verdadeira;22.015,00;1,7
3515135;05/06/2023;Sardinha-verdadeira;21.691,00;2,6
3404869;05/06/2023;Sardinha-verdadeira;8.000,00;1,1
3262558;05/06/2023;Sardinha-verdadeira;180.000,00;2,8
3306836;06/06/2023;Sardinha-verdadeira;29.000,00;2
3262558;06/06/2023;Sardinha-verdadeira;159.000,00;2,5
3515135;07/06/2023;Sardinha-verdadeira;150.298,00;2,6
3404869;07/06/2023;Sardinha-verdadeira;136.000,00;1,1
3306836;07/06/2023;Sardinha-verdadeira;17.000,00;2
3262558;07/06/2023;Sardinha-verdadeira;200.000,00;2,7
5467319;09/06/2023;Sardinha-verdadeira;7.875,00;1,5
5467319;10/06/2023;Sardinha-verdadeira;8.567,00;1,5
3262558;10/06/2023;Sardinha-verdadeira;140.000,00;2,5
3262558;10/06/2023;Sardinha-verdadeira;50.000,00;2,5
3404869;11/06/2023;Sardinha-verdadeira;135.000,00;1,1
3404869;11/06/2023;Sardinha-verdadeira;5.000,00;1,1
3262558;12/06/2023;Sardinha-verdadeira;190.000,00;2,7
3262558;12/06/2023;Sardinha-verdadeira;80.000,00;2,5
3515135;14/06/2023;Sardinha-verdadeira;177.391,00;2,6
3262558;14/06/2023;Sardinha-verdadeira;45.000,00;2,7
3262558;14/06/2023;Sardinha-verdadeira;80.000,00;2,7
3515135;15/06/2023;Sardinha-verdadeira;66.404,00;2,6
3262558;15/06/2023;Sardinha-verdadeira;55.000,00;2,5
3306836;19/06/2023;Sardinha-verdadeira;18.000,00;2
3262558;19/06/2023;Sardinha-verdadeira;30.000,00;2,5
5467319;21/06/2023;Sardinha-verdadeira;86.090,00;1,5
3515135;21/06/2023;Sardinha-verdadeira;54.623,00;2,6
3306836;21/06/2023;Sardinha-verdadeira;14.000,00;2
3262558;21/06/2023;Sardinha-verdadeira;52.000,00;2,5
3262558;21/06/2023;Sardinha-verdadeira;55.000,00;2,5
3515135;22/06/2023;Sardinha-verdadeira;11.633,00;2,6
3262558;22/06/2023;Sardinha-verdadeira;60.000,00;2,5
3262558;22/06/2023;Sardinha-verdadeira;3.500,00;2,5
5467319;23/06/2023;Sardinha-verdadeira;59.880,00;1,5
3307329;23/06/2023;Sardinha-verdadeira;101.000,00;2,2
3306836;23/06/2023;Sardinha-verdadeira;65.000,00;2
3404869;24/06/2023;Sardinha-verdadeira;39.500,00;1,1
3262558;24/06/2023;Sardinha-verdadeira;170.000,00;2,5
3262558;24/06/2023;Sardinha-verdadeira;200.000,00;2,7
3306836;25/06/2023;Sardinha-verdadeira;32.000,00;2
5467319;26/06/2023;Sardinha-verdadeira;15.800,00;1,5
3262558;26/06/2023;Sardinha-verdadeira;180.000,00;2,7
3262558;26/06/2023;Sardinha-verdadeira;210.000,00;2,7
3404869;27/06/2023;Sardinha-verdadeira;120.000,00;1,1
3332880;27/06/2023;Sardinha-verdadeira;60;2
5467319;28/06/2023;Sardinha-verdadeira;120;1
3515135;28/06/2023;Sardinha-verdadeira;137.497,00;2,6
3262558;28/06/2023;Sardinha-verdadeira;35.000,00;2,7
5467319;30/06/2023;Sardinha-verdadeira;60.000,00;1,5
3515135;30/06/2023;Sardinha-verdadeira;76.716,00;2,6
3404869;30/06/2023;Sardinha-verdadeira;14.000,00;1,1
3332295;01/07/2023;Sardinha-verdadeira;69.960,00;2,2
3332295;02/07/2023;Sardinha-verdadeira;76.540,00;2,2
3502767;03/07/2023;Sardinha-verdadeira;27.000,00;1,1
3502767;03/07/2023;Sardinha-verdadeira;27.000,00;1,1
3357678;03/07/2023;Sardinha-verdadeira;80.000,00;2,4
3357678;03/07/2023;Sardinha-verdadeira;145.000,00;2,5
5527048;04/07/2023;Sardinha-verdadeira;620;1,5
3690032;04/07/2023;Sardinha-verdadeira;151.100,00;2,6
3690032;05/07/2023;Sardinha-verdadeira;153.743,00;2,6
3690032;05/07/2023;Sardinha-verdadeira;20.947,00;2,6
3357678;05/07/2023;Sardinha-verdadeira;80.000,00;2,5
3357678;06/07/2023;Sardinha-verdadeira;180.000,00;2,4
3690032;07/07/2023;Sardinha-verdadeira;24.601,00;2,6
3437284;07/07/2023;Sardinha-verdadeira;2.000,00;2
3357678;07/07/2023;Sardinha-verdadeira;220.000,00;2,4
3690032;08/07/2023;Sardinha-verdadeira;51.191,00;2,6
3357678;08/07/2023;Sardinha-verdadeira;15.000,00;2,2
3690032;10/07/2023;Sardinha-verdadeira;143.396,00;2,6
5527048;11/07/2023;Sardinha-verdadeira;45.755,00;1,5
3357678;11/07/2023;Sardinha-verdadeira;32.000,00;2,2
5527048;12/07/2023;Sardinha-verdadeira;22.268,00;1,5
3690032;12/07/2023;Sardinha-verdadeira;16.736,00;2,6
3690032;12/07/2023;Sardinha-verdadeira;18.695,00;2,6
3502767;12/07/2023;Sardinha-verdadeira;20.000,00;1,1
3502767;12/07/2023;Sardinha-verdadeira;85.000,00;1,1
3502767;12/07/2023;Sardinha-verdadeira;17.000,00;1,1
3357678;12/07/2023;Sardinha-verdadeira;150.000,00;2,4
3690032;13/07/2023;Sardinha-verdadeira;117.216,00;2,6
3357678;13/07/2023;Sardinha-verdadeira;90.000,00;2,2
3357678;13/07/2023;Sardinha-verdadeira;45.000,00;2,4
3357678;13/07/2023;Sardinha-verdadeira;60.000,00;2,4
3357678;14/07/2023;Sardinha-verdadeira;143.000,00;2,2
5527048;15/07/2023;Sardinha-verdadeira;33.320,00;1,5
3502767;15/07/2023;Sardinha-verdadeira;17.000,00;1,1
3357678;15/07/2023;Sardinha-verdadeira;24.000,00;2,2
5527048;17/07/2023;Sardinha-verdadeira;120;1,5
3690032;17/07/2023;Sardinha-verdadeira;70.248,00;2,6
3502767;17/07/2023;Sardinha-verdadeira;50.000,00;1,1
3502767;17/07/2023;Sardinha-verdadeira;7.000,00;1,1
3357678;17/07/2023;Sardinha-verdadeira;110.000,00;2,2
3357678;17/07/2023;Sardinha-verdadeira;4.000,00;2,2
3357678;17/07/2023;Sardinha-verdadeira;7.000,00;2,2
3690032;18/07/2023;Sardinha-verdadeira;36.170,00;2,6
3357678;18/07/2023;Sardinha-verdadeira;75.000,00;2,4
3357678;18/07/2023;Sardinha-verdadeira;85.000,00;2,4
3357678;18/07/2023;Sardinha-verdadeira;80.000,00;2,4
3357678;19/07/2023;Sardinha-verdadeira;60.000,00;2,22
3690032;21/07/2023;Sardinha-verdadeira;2.508,00;2,6
3690032;24/07/2023;Sardinha-verdadeira;35.264,00;2,6
3437284;24/07/2023;Sardinha-verdadeira;7.000,00;2
3357678;24/07/2023;Sardinha-verdadeira;16.000,00;2,2
3357678;24/07/2023;Sardinha-verdadeira;58.000,00;2,2
3690032;25/07/2023;Sardinha-verdadeira;21.497,00;2,6
3441365;25/07/2023;Sardinha-verdadeira;1.514,00;2
3357678;25/07/2023;Sardinha-verdadeira;13.000,00;2,2
3357678;25/07/2023;Sardinha-verdadeira;9.000,00;2,2
3357678;25/07/2023;Sardinha-verdadeira;10.000,00;2,2
3502767;26/07/2023;Sardinha-verdadeira;13.000,00;1,1
3502767;26/07/2023;Sardinha-verdadeira;28.000,00;1,1
3357678;26/07/2023;Sardinha-verdadeira;15.000,00;2,2
3690032;27/07/2023;Sardinha-verdadeira;13.530,00;2,6
3437284;27/07/2023;Sardinha-verdadeira;5.000,00;2
3357678;27/07/2023;Sardinha-verdadeira;10.000,00;2,2
3357678;27/07/2023;Sardinha-verdadeira;12.000,00;2,2
3502767;28/07/2023;Sardinha-verdadeira;2.000,00;1,1
3502767;28/07/2023;Sardinha-verdadeira;10.000,00;1,1
3437284;28/07/2023;Sardinha-verdadeira;10.000,00;2
3357678;28/07/2023;Sardinha-verdadeira;28.000,00;2,2
3357678;28/07/2023;Sardinha-verdadeira;22.000,00;2,2
3357678;28/07/2023;Sardinha-verdadeira;20.000,00;2,2
3357678;28/07/2023;Sardinha-verdadeira;120.000,00;2,2
3357678;28/07/2023;Sardinha-verdadeira;54.000,00;2,2
3357678;28/07/2023;Sardinha-verdadeira;25.000,00;2,2
3502767;29/07/2023;Sardinha-verdadeira;58.000,00;1,1
3502767;30/07/2023;Sardinha-verdadeira;3.000,00;1,1
3357678;31/07/2023;Sardinha-verdadeira;42.000,00;2,2
3357678;31/07/2023;Sardinha-verdadeira;18.000,00;2,2
3692609;01/08/2023;Sardinha-verdadeira;108.732,00;2,6
3692609;01/08/2023;Sardinha-verdadeira;11.806,00;2,6
3521328;01/08/2023;Sardinha-verdadeira;6.000,00;2
3427612;01/08/2023;Sardinha-verdadeira;35.000,00;2,2
3427612;02/08/2023;Sardinha-verdadeira;25.000,00;2,2
3427612;02/08/2023;Sardinha-verdadeira;140.000,00;2,2
3607704;03/08/2023;Sardinha-verdadeira;115.000,00;1,1
3427612;03/08/2023;Sardinha-verdadeira;155.000,00;2,4
3427612;03/08/2023;Sardinha-verdadeira;95.000,00;2,4
3423819;03/08/2023;Sardinha-verdadeira;20;1,6
3521328;05/08/2023;Sardinha-verdadeira;18.000,00;2
3427612;05/08/2023;Sardinha-verdadeira;55.000,00;2,2
3427612;05/08/2023;Sardinha-verdadeira;20.000,00;2,2
3427612;05/08/2023;Sardinha-verdadeira;5.000,00;2,2
3427612;06/08/2023;Sardinha-verdadeira;7.000,00;2,2
5527362;07/08/2023;Sardinha-verdadeira;13.440,00;1,5
3692609;07/08/2023;Sardinha-verdadeira;38.928,00;2,6
3692609;07/08/2023;Sardinha-verdadeira;12.046,00;2,6
3607704;07/08/2023;Sardinha-verdadeira;12.000,00;1,1
3607704;07/08/2023;Sardinha-verdadeira;2.000,00;1,1
3607704;07/08/2023;Sardinha-verdadeira;40.000,00;1,1
3607704;07/08/2023;Sardinha-verdadeira;38.000,00;1,1
3521328;07/08/2023;Sardinha-verdadeira;6.680,00;2
3427612;07/08/2023;Sardinha-verdadeira;35.000,00;2,4
3427612;07/08/2023;Sardinha-verdadeira;40.000,00;2,4
3427612;07/08/2023;Sardinha-verdadeira;9.000,00;9.000,00
3427612;07/08/2023;Sardinha-verdadeira;68.000,00;2,4
3427612;08/08/2023;Sardinha-verdadeira;42.000,00;2,2
3427612;08/08/2023;Sardinha-verdadeira;8.000,00;2,2
5527362;11/08/2023;Sardinha-verdadeira;10.220,00;1,5
3607704;11/08/2023;Sardinha-verdadeira;10.000,00;1,1
3521328;11/08/2023;Sardinha-verdadeira;21.000,00;2
3427612;11/08/2023;Sardinha-verdadeira;38.000,00;2,2
5527362;12/08/2023;Sardinha-verdadeira;3.900,00;2,3
3607704;12/08/2023;Sardinha-verdadeira;500;1,1
3607704;12/08/2023;Sardinha-verdadeira;13.000,00;1,1
3607704;12/08/2023;Sardinha-verdadeira;5.000,00;1,1
3427612;12/08/2023;Sardinha-verdadeira;140.000,00;2,4
3427612;12/08/2023;Sardinha-verdadeira;75.000,00;2,4
3427612;14/08/2023;Sardinha-verdadeira;7.000,00;2,2
3427612;14/08/2023;Sardinha-verdadeira;40.000,00;2,4
3427612;15/08/2023;Sardinha-verdadeira;31.000,00;2,2
5527362;16/08/2023;Sardinha-verdadeira;44.786,00;1,5
3607704;16/08/2023;Sardinha-verdadeira;3.000,00;1,1
3692609;17/08/2023;Sardinha-verdadeira;19.553,00;2,6
3607704;17/08/2023;Sardinha-verdadeira;23.000,00;1,1
3427612;17/08/2023;Sardinha-verdadeira;15.000,00;2,2
3427612;17/08/2023;Sardinha-verdadeira;42.000,00;2,2
3427612;17/08/2023;Sardinha-verdadeira;80.000,00;2,4
5527362;18/08/2023;Sardinha-verdadeira;68.328,00;1,8
3607704;18/08/2023;Sardinha-verdadeira;30.000,00;1,1
3521328;18/08/2023;Sardinha-verdadeira;25.000,00;2
3521328;18/08/2023;Sardinha-verdadeira;30.000,00;2
3521328;18/08/2023;Sardinha-verdadeira;49.000,00;2
3427612;18/08/2023;Sardinha-verdadeira;29.000,00;2,4
3607704;19/08/2023;Sardinha-verdadeira;107.000,00;1,1
3427612;19/08/2023;Sardinha-verdadeira;70.000,00;2,2
3427612;19/08/2023;Sardinha-verdadeira;48.000,00;2,2
3423819;19/08/2023;Sardinha-verdadeira;56.047,00;2,2
5527362;20/08/2023;Sardinha-verdadeira;45.882,00;1,8
3423819;20/08/2023;Sardinha-verdadeira;1.380,00;1
3692609;21/08/2023;Sardinha-verdadeira;85.092,00;2,6
3521328;21/08/2023;Sardinha-verdadeira;10.000,00;2
3427612;21/08/2023;Sardinha-verdadeira;13.000,00;2,2
3427612;21/08/2023;Sardinha-verdadeira;8.000,00;2,2
3521328;22/08/2023;Sardinha-verdadeira;65.000,00;2
3427612;22/08/2023;Sardinha-verdadeira;75.000,00;2,4
3427612;22/08/2023;Sardinha-verdadeira;140.000,00;2,2
3427612;22/08/2023;Sardinha-verdadeira;13.000,00;2,2
3423819;22/08/2023;Sardinha-verdadeira;40.620,00;2,7
5527362;23/08/2023;Sardinha-verdadeira;11.260,00;1
3692609;23/08/2023;Sardinha-verdadeira;81.352,00;2,6
3692609;23/08/2023;Sardinha-verdadeira;10.589,00;2,6
3607704;23/08/2023;Sardinha-verdadeira;17.000,00;1,1
3607704;23/08/2023;Sardinha-verdadeira;23.000,00;1,1
3607704;23/08/2023;Sardinha-verdadeira;124.000,00;1,1
3521328;23/08/2023;Sardinha-verdadeira;19.000,00;2
3427612;23/08/2023;Sardinha-verdadeira;22.000,00;2,2
3427612;23/08/2023;Sardinha-verdadeira;19.000,00;2,2
3427612;23/08/2023;Sardinha-verdadeira;42.000,00;2,2
3427612;23/08/2023;Sardinha-verdadeira;40.000,00;2,2
3423819;23/08/2023;Sardinha-verdadeira;19.480,00;2,7
3692609;24/08/2023;Sardinha-verdadeira;41.594,00;2,6
3427612;24/08/2023;Sardinha-verdadeira;10.000,00;2,2
3427612;24/08/2023;Sardinha-verdadeira;60.000,00;2,4
3427612;24/08/2023;Sardinha-verdadeira;110.000,00;2,4
3427612;24/08/2023;Sardinha-verdadeira;34.000,00;2,2
3692609;25/08/2023;Sardinha-verdadeira;68.152,00;2,6
3427612;25/08/2023;Sardinha-verdadeira;50.000,00;2,2
3423819;26/08/2023;Sardinha-verdadeira;36.100,00;2,2
3521328;29/08/2023;Sardinha-verdadeira;18.000,00;2
3427612;29/08/2023;Sardinha-verdadeira;18.000,00;2,2
5527362;30/08/2023;Sardinha-verdadeira;14.820,00;1,5
3607704;30/08/2023;Sardinha-verdadeira;4.500,00;1,1
3427612;30/08/2023;Sardinha-verdadeira;10.000,00;2,2
3423819;30/08/2023;Sardinha-verdadeira;5.180,00;1,85
5527362;31/08/2023;Sardinha-verdadeira;11.785,00;2,7
3607704;31/08/2023;Sardinha-verdadeira;27.000,00;1,1
3521328;31/08/2023;Sardinha-verdadeira;13.000,00;2
3427612;31/08/2023;Sardinha-verdadeira;35.000,00;2,2
3536531;01/09/2023;Sardinha-verdadeira;32.000,00;2,2
3536531;01/09/2023;Sardinha-verdadeira;14.000,00;2,2
5538859;02/09/2023;Sardinha-verdadeira;4.800,00;2,2
3608560;02/09/2023;Sardinha-verdadeira;5.000,00;2
3608560;02/09/2023;Sardinha-verdadeira;1.500,00;2
3536531;02/09/2023;Sardinha-verdadeira;20.000,00;2,2
3536531;02/09/2023;Sardinha-verdadeira;8.000,00;2,2
3525973;02/09/2023;Sardinha-verdadeira;28.280,00;2,2
3764329;03/09/2023;Sardinha-verdadeira;4.000,00;1,1
3764329;04/09/2023;Sardinha-verdadeira;84.000,00;1,1
3764329;04/09/2023;Sardinha-verdadeira;65.000,00;1,1
3742094;04/09/2023;Sardinha-verdadeira;12.919,00;2,6
3742094;04/09/2023;Sardinha-verdadeira;52.856,00;2,6
3608560;04/09/2023;Sardinha-verdadeira;14.000,00;2
3536531;04/09/2023;Sardinha-verdadeira;130.000,00;2,2
3536531;04/09/2023;Sardinha-verdadeira;4.000,00;2,2
3536531;04/09/2023;Sardinha-verdadeira;18.000,00;2,2
3536531;04/09/2023;Sardinha-verdadeira;2.000,00;2,2
3536531;04/09/2023;Sardinha-verdadeira;110.000,00;2,4
3536531;04/09/2023;Sardinha-verdadeira;110.000,00;2,4
3742094;05/09/2023;Sardinha-verdadeira;112.575,00;2,6
3536531;05/09/2023;Sardinha-verdadeira;165.000,00;2,4
3536531;05/09/2023;Sardinha-verdadeira;100.000,00;2,2
3536531;07/09/2023;Sardinha-verdadeira;8.000,00;2,2
3608560;08/09/2023;Sardinha-verdadeira;780;2
5538859;09/09/2023;Sardinha-verdadeira;3.660,00;3,2
3525973;09/09/2023;Sardinha-verdadeira;35.713,00;2,2
5538859;10/09/2023;Sardinha-verdadeira;11.000,00;1,5
3764329;11/09/2023;Sardinha-verdadeira;3.000,00;1,1
5538859;12/09/2023;Sardinha-verdadeira;28.160,00;2,6
3742094;12/09/2023;Sardinha-verdadeira;37.008,00;2,6
3608560;12/09/2023;Sardinha-verdadeira;8.000,00;2
3536531;12/09/2023;Sardinha-verdadeira;170.000,00;2,4
3536531;12/09/2023;Sardinha-verdadeira;8.000,00;2,2
3536531;12/09/2023;Sardinha-verdadeira;60.000,00;2,2
3536531;12/09/2023;Sardinha-verdadeira;125.000,00;2,2
3764329;13/09/2023;Sardinha-verdadeira;180.000,00;1,1
3742094;13/09/2023;Sardinha-verdadeira;140.802,00;2,6
3536531;13/09/2023;Sardinha-verdadeira;207.000,00;2,4
3525973;13/09/2023;Sardinha-verdadeira;157.320,00;2,2
3764329;14/09/2023;Sardinha-verdadeira;39.000,00;1,1
3608560;14/09/2023;Sardinha-verdadeira;27.000,00;2
3536531;14/09/2023;Sardinha-verdadeira;155.000,00;2,2
3536531;15/09/2023;Sardinha-verdadeira;220.000,00;2,4
3536531;16/09/2023;Sardinha-verdadeira;30.000,00;2,2
3764329;17/09/2023;Sardinha-verdadeira;12.000,00;1,1
3608560;18/09/2023;Sardinha-verdadeira;23.000,00;2
3742094;19/09/2023;Sardinha-verdadeira;61.251,00;2,6
3608560;19/09/2023;Sardinha-verdadeira;35.000,00;2
3536531;19/09/2023;Sardinha-verdadeira;141.000,00;2,2
3536531;19/09/2023;Sardinha-verdadeira;15.000,00;2,2
3536531;19/09/2023;Sardinha-verdadeira;27.000,00;2,2
3764329;20/09/2023;Sardinha-verdadeira;3.000,00;1,1
3606682;20/09/2023;Sardinha-verdadeira;3.935,00;3
3536531;20/09/2023;Sardinha-verdadeira;180.000,00;2,4
3536531;20/09/2023;Sardinha-verdadeira;200.000,00;2,4
3764329;21/09/2023;Sardinha-verdadeira;36.000,00;1,1
3764329;21/09/2023;Sardinha-verdadeira;9.000,00;1,1
3742094;21/09/2023;Sardinha-verdadeira;139.033,00;2,6
3608560;21/09/2023;Sardinha-verdadeira;150.000,00;2
5538859;22/09/2023;Sardinha-verdadeira;21.000,00;1,5
3608560;22/09/2023;Sardinha-verdadeira;24.000,00;2
3536531;22/09/2023;Sardinha-verdadeira;95.000,00;2,2
3536531;22/09/2023;Sardinha-verdadeira;215.000,00;2,4
5538859;23/09/2023;Sardinha-verdadeira;57.200,00;1,5
3764329;23/09/2023;Sardinha-verdadeira;13.000,00;1,1
3525973;23/09/2023;Sardinha-verdadeira;40.534,00;2,6
3764329;24/09/2023;Sardinha-verdadeira;3.000,00;1,1
3742094;25/09/2023;Sardinha-verdadeira;10.631,00;2,6
3608560;25/09/2023;Sardinha-verdadeira;41.000,00;2
3536531;25/09/2023;Sardinha-verdadeira;95.000,00;2,2
5538859;26/09/2023;Sardinha-verdadeira;19.959,00;2,9
3764329;26/09/2023;Sardinha-verdadeira;3.500,00;1,1
3764329;26/09/2023;Sardinha-verdadeira;130.000,00;1,1
3606682;26/09/2023;Sardinha-verdadeira;10.706,00;3
3536531;26/09/2023;Sardinha-verdadeira;7.000,00;2,2
3536531;26/09/2023;Sardinha-verdadeira;130.000,00;2,2
5538859;27/09/2023;Sardinha-verdadeira;12.000,00;2,9
3742094;27/09/2023;Sardinha-verdadeira;137.231,00;2,6
3536531;27/09/2023;Sardinha-verdadeira;90.000,00;2,2
3536531;27/09/2023;Sardinha-verdadeira;135.000,00;2,4
3536531;28/09/2023;Sardinha-verdadeira;60.000,00;2,2
3536531;30/09/2023;Sardinha-verdadeira;50.000,00;2,4
3536531;30/09/2023;Sardinha-verdadeira;4.000,00;2,4
5595455;02/10/2023;Sardinha-verdadeira;9.664,00;3
3613905;02/10/2023;Sardinha-verdadeira;3.000,00;2,4
3607411;02/10/2023;Sardinha-verdadeira;44.470,00;2,2
4485327;03/03/2024;Sardinha-verdadeira;35.000,00;1,1
4485327;04/03/2024;Sardinha-verdadeira;120.000,00;1,1
4485327;04/03/2024;Sardinha-verdadeira;15.000,00;1,1
4274827;04/03/2024;Sardinha-verdadeira;15.000,00;2,7
4274827;04/03/2024;Sardinha-verdadeira;10.000,00;2,7
4078623;04/03/2024;Sardinha-verdadeira;60.000,00;2,7
4078623;04/03/2024;Sardinha-verdadeira;48.000,00;2,7
4485327;05/03/2024;Sardinha-verdadeira;10.000,00;1,1
4078623;05/03/2024;Sardinha-verdadeira;5.000,00;2,7
4078623;05/03/2024;Sardinha-verdadeira;130.000,00;2,9
4078623;05/03/2024;Sardinha-verdadeira;100.000,00;2,9
4078623;05/03/2024;Sardinha-verdadeira;140.000,00;2,9
4078623;07/03/2024;Sardinha-verdadeira;34.000,00;2,7
4078623;07/03/2024;Sardinha-verdadeira;80.000,00;2,7
4078623;07/03/2024;Sardinha-verdadeira;11.000,00;2,7
4274827;08/03/2024;Sardinha-verdadeira;5.000,00;2,7
4274827;11/03/2024;Sardinha-verdadeira;50.000,00;2,7
4078623;11/03/2024;Sardinha-verdadeira;15.000,00;2,7
4485327;12/03/2024;Sardinha-verdadeira;141.000,00;1,1
4274827;12/03/2024;Sardinha-verdadeira;60.000,00;2,7
4078623;12/03/2024;Sardinha-verdadeira;35.000,00;2,7
4078623;13/03/2024;Sardinha-verdadeira;160.000,00;2,7
4186873;14/03/2024;Sardinha-verdadeira;186.206,00;2,5
4078623;14/03/2024;Sardinha-verdadeira;85.000,00;2,7
4078623;14/03/2024;Sardinha-verdadeira;190.000,00;2,9
4078623;14/03/2024;Sardinha-verdadeira;130.000,00;2,7
4078623;14/03/2024;Sardinha-verdadeira;161.000,00;2,7
4485327;15/03/2024;Sardinha-verdadeira;180.000,00;1,1
4485327;15/03/2024;Sardinha-verdadeira;50.000,00;1,1
4274827;15/03/2024;Sardinha-verdadeira;60.000,00;2,7
4274827;15/03/2024;Sardinha-verdadeira;50.000,00;2,7
4485327;16/03/2024;Sardinha-verdadeira;45.000,00;1,1
4274827;16/03/2024;Sardinha-verdadeira;16.000,00;2,7
4078623;16/03/2024;Sardinha-verdadeira;220.000,00;2,9
4078623;16/03/2024;Sardinha-verdadeira;200.000,00;2,9
4186873;18/03/2024;Sardinha-verdadeira;114.020,00;2,35
4274827;19/03/2024;Sardinha-verdadeira;30.000,00;2,7
4078623;19/03/2024;Sardinha-verdadeira;145.000,00;2,7
4274827;20/03/2024;Sardinha-verdadeira;46.000,00;2,7
4485327;21/03/2024;Sardinha-verdadeira;13.000,00;1,1
4485327;21/03/2024;Sardinha-verdadeira;24.000,00;1,1
4186873;21/03/2024;Sardinha-verdadeira;63.380,00;3
4078623;21/03/2024;Sardinha-verdadeira;140.000,00;2,7
4485327;22/03/2024;Sardinha-verdadeira;100.000,00;1,1
4485327;22/03/2024;Sardinha-verdadeira;64.000,00;1,1
4485327;25/03/2024;Sardinha-verdadeira;65.000,00;1,1
4078623;25/03/2024;Sardinha-verdadeira;70.000,00;2,7
4485327;27/03/2024;Sardinha-verdadeira;39.000,00;1,1
4485327;27/03/2024;Sardinha-verdadeira;12.000,00;1,1
4186873;27/03/2024;Sardinha-verdadeira;71.440,00;2,7
4078623;27/03/2024;Sardinha-verdadeira;185.000,00;2,7
4485327;28/03/2024;Sardinha-verdadeira;75.000,00;1,1
4078623;28/03/2024;Sardinha-verdadeira;215.000,00;2,9
4078623;30/03/2024;Sardinha-verdadeira;192.000,00;2,9
4078623;30/03/2024;Sardinha-verdadeira;170.000,00;2,7
4263139;01/04/2024;Sardinha-verdadeira;220.000,00;2,9
4239897;01/04/2024;Sardinha-verdadeira;22.920,00;2,7
4263139;02/04/2024;Sardinha-verdadeira;80.000,00;2,7
4449693;04/04/2024;Sardinha-verdadeira;50.000,00;2
4263139;04/04/2024;Sardinha-verdadeira;170.000,00;2,7
4449693;05/04/2024;Sardinha-verdadeira;50.000,00;2
4263139;05/04/2024;Sardinha-verdadeira;140.000,00;2,7
4263139;05/04/2024;Sardinha-verdadeira;170.000,00;2,7
4263139;06/04/2024;Sardinha-verdadeira;200.000,00;2,9
4239897;07/04/2024;Sardinha-verdadeira;52.800,00;2,7
4449693;08/04/2024;Sardinha-verdadeira;70.000,00;2
4263139;08/04/2024;Sardinha-verdadeira;215.000,00;2,9
4263139;09/04/2024;Sardinha-verdadeira;220.000,00;2,9
4449693;10/04/2024;Sardinha-verdadeira;65.000,00;2
4449693;12/04/2024;Sardinha-verdadeira;15.000,00;2
4263139;12/04/2024;Sardinha-verdadeira;145.000,00;2,7
4263139;12/04/2024;Sardinha-verdadeira;180.000,00;2,7
4263139;15/04/2024;Sardinha-verdadeira;169.000,00;2,7
4263139;15/04/2024;Sardinha-verdadeira;145.000,00;2,7
4263139;18/04/2024;Sardinha-verdadeira;210.000,00;2,9
4263139;20/04/2024;Sardinha-verdadeira;220.000,00;2,9
4263139;20/04/2024;Sardinha-verdadeira;170.000,00;2,7
